title,price_ngn,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,total_rooms,price_per_room
3 Bedroom Flat,750000000,Maitama,Maitama,Maitama Maitama Abuja,3,3,4,Flat/Apartment,10,75000000.0
5 Bedroom Flat,2000000000,Maitama,Maitama,Minister's Hill Maitama Maitama Abuja,5,5,6,Flat/Apartment,16,125000000.0
4 Bedroom Terraced Duplex,900000000,Maitama,Maitama,Off Amazon Maitama Abuja,4,4,5,Terraced Duplex,13,69230769.0
4 Bedroom Flat,600000000,Maitama,Maitama,Tarred Road Maitama Abuja,5,5,6,Flat/Apartment,16,37500000.0
4 Bedroom Fully Detached Duplex With Bq,750000000,Maitama,Maitama,Maitama Abuja,4,4,5,Detached Duplex,13,57692308.0
Unfinished 5 Bedroom Detached Duplex With Bq,750000000,Asokoro,Asokoro,"Naf Valley Estate, Asokoro Abuja",5,5,6,Detached Duplex,16,46875000.0
Newly Built 8 Bedroom Fully Detached Duplex,2500000000,Asokoro,Asokoro,Asokoro Extension Asokoro Abuja,8,10,10,Detached Duplex,28,89285714.0
Newly Built 7 Bedroom Fully Detached Duplex,1100000000,Asokoro,Asokoro,Asokoro Abuja,7,7,7,Detached Duplex,21,52380952.0
Newly Built 8 Bedroom Fully Detached Duplex,2000000000,Asokoro,Asokoro,Asokoro Extension Asokoro Abuja,10,10,10,Detached Duplex,30,66666667.0
7 Bedroom Fully Detached Duplex,1100000000,Asokoro,Asokoro,"Asokoro Main, Asokoro Abuja",7,7,8,Detached Duplex,22,50000000.0
Semi Finished 4 Bedroom Duplex With A Bq,250000000,Asokoro,Asokoro,Admiralty Estate Asokoro Abuja,4,4,5,Semi-Detached Duplex,13,19230769.0
Newly Built 4 Bedroom Duplex,350000000,Asokoro,Asokoro,Asokoro Main Asokoro Abuja,4,4,5,Detached Duplex,13,26923077.0
4 Bedroom Terrace Duplex With Bq,900000000,Asokoro,Asokoro,Asokoro Abuja,4,4,4,Terraced Duplex,12,75000000.0
5 Bedroom Duplex,1700000000,Asokoro,Asokoro,Asokoro Abuja,5,5,6,Detached Duplex,16,106250000.0
Luxurious 5 Bedroom Semi Detached Duplex Bq,750000000,Wuse-2,Wuse,"Close To Rock View Hotel, Wuse 2 Abuja",5,5,6,Semi-Detached Duplex,16,46875000.0
8 Bedroom Automated Detached With Bq,3000000000,Wuse-2,Wuse,Wuse 2 Abuja,8,8,8,House,24,125000000.0
6 Bedroom Fully Detached Duplex,2000000000,Wuse-2,Wuse,Wuse 2 Abuja,6,6,7,Detached Duplex,19,105263158.0
4 Bedroom Duplex,1500000000,Wuse-2,Wuse,Off Amino Kano Crescent Wuse 2 Abuja,4,4,5,Detached Duplex,13,115384615.0
5 Bedroom Terrace Duplex With Bq,550000000,Wuse-2,Wuse,Off Ademola Adetokumbo Wuse 2 Abuja,5,5,6,Terraced Duplex,16,34375000.0
5 Bedroom Detached Duplex With Bq,850000000,Wuse-2,Wuse,Wuse 2 Abuja,5,5,6,Detached Duplex,16,53125000.0
2 Bedroom Luxury Apartment,250000000,Wuse-2,Wuse,Wuse 2 Abuja,2,2,3,Flat/Apartment,7,35714286.0
7 Bedroom Terrace Duplex,800000000,Wuse-2,Wuse,Wuse 2 Abuja,7,7,8,Terraced Duplex,22,36363636.0
4 Bedroom Semi Detached Duplex With Bq,950000000,Wuse-2,Wuse,Wuse 2 Abuja,4,4,5,Semi-Detached Duplex,13,73076923.0
4 Bedroom Semi Detached Duplex With Bq,850000000,Wuse-2,Wuse,Wuse 2 Abuja,4,4,5,Semi-Detached Duplex,13,65384615.0
